,text,q
661,795,0
662,959,0
663,781,1
664,756,0
665,742,0
666,45,0
667,805,0
668,51,0
669,811,0
670,3,0
671,187,0
672,79,0
673,839,0
674,193,0
675,178,0
676,86,0
677,92,0
678,144,0
679,622,0
680,636,0
681,150,0
682,385,0
683,391,0
684,408,0
685,420,0
686,346,0
687,352,0
688,434,0
689,353,0
690,435,1
691,421,0
692,347,0
693,409,0
694,390,0
695,384,0
696,637,0
697,151,0
698,145,0
699,623,0
700,93,0
701,179,0
702,87,0
703,192,0
704,186,0
705,838,0
706,78,0
707,810,0
708,50,0
709,2,0
710,804,0
711,44,0
712,743,0
713,757,0
714,780,0
715,958,1
716,794,0
717,964,0
718,970,0
719,227,0
720,541,1
721,555,0
722,233,0
723,569,0
724,582,0
725,1016,0
726,1002,0
727,596,0
728,1028,1
729,1014,0
730,580,0
731,594,0
732,1000,0
733,219,0
734,543,0
735,225,2
736,231,0
737,557,0
738,966,0
739,972,0
740,782,0
741,796,0
742,769,0
743,741,0
744,999,2
745,755,0
746,52,0
747,812,0
748,46,0
749,806,0
750,190,0
751,184,0
752,609,0
753,91,0
754,85,0
755,153,0
756,635,0
757,621,0
758,147,0
759,392,1
760,386,0
761,379,0
762,437,1
763,351,0
764,345,0
765,423,0
766,344,1
767,422,0
768,436,1
769,350,0
770,378,0
771,387,0
772,393,0
773,620,0
774,146,0
775,152,0
776,634,0
777,84,0
778,90,0
779,608,0
780,185,0
781,191,0
782,807,0
783,47,0
784,1,0
785,813,0
786,53,0
787,754,0
788,998,0
789,740,0
790,768,0
791,797,0
792,783,0
793,973,0
794,967,0
795,230,0
796,556,0
797,542,0
798,224,0
799,218,0
800,1001,0
801,595,0
802,581,0
803,1015,0
804,1029,0
805,280,0
806,294,0
807,525,0
808,243,0
809,257,0
810,531,0
811,519,0
812,928,0
813,900,0
814,914,0
815,727,0
816,733,0
817,690,0
818,848,0
819,684,0
820,34,0
821,874,0
822,20,0
823,860,0
824,135,1
825,653,0
826,647,0
827,121,1
828,109,0
829,492,0
830,486,0
831,451,0
832,337,0
833,323,0
834,445,0
835,479,0
836,478,0
837,322,0
838,444,0
839,450,0
840,336,0
841,487,0
842,493,0
843,108,0
844,646,0
845,120,0
846,134,1
847,652,0
848,861,0
849,21,0
850,875,0
851,35,0
852,685,0
853,849,0
854,691,1
855,732,0
856,726,0
857,915,0
